Raid Report,Street Address,City ,State
Report-1456: Oct. 17 ,,,
Report-1457: Oct. 17 ,,,
Report-1458: Oct. 17 Roosevelt and Kostner,Roosevelt and Kostner,,
"Report-1459: Oct. 17 285 E Grand Ave, Fox Lake, IL 60020","285 E Grand Ave, Fox Lake, IL 60020",,
Report-1460: Oct. 17 Lomeli's grocery store ,Lomeli's grocery store ,,
Report-1461: Oct. 17 1010 West Madison Street ,1010 West Madison Street ,,
Report-1462: Oct. 17 Volo Wilson Nursey ,Volo Wilson Nursey ,,
"Report-1463: Oct. 17 Intersection of School and Lawndale, near Riley K-8 school","Intersection of School and Lawndale, near Riley K-8 school",,
Report-1464: Oct. 17 4600 S Hermitage Ave,4600 S Hermitage Ave,,
"Report-1465: Oct. 17 1810 E Rollins Rd, Round Lake, IL 60073","1810 E Rollins Rd, Round Lake, IL 60073",,
Report-1466: Oct. 17 On Milwaukee and 83,On Milwaukee and 83,,
Report-1467: Oct. 17 Oak Street bon Emmerson and Davidson ,Oak Street bon Emmerson and Davidson ,,
Report-1468: Oct. 17 46th and Jeffery ,46th and Jeffery ,,
Report-1469: Oct. 17 West Division Street and Cherry Ave,West Division Street and Cherry Ave,,
"Report-1470: Oct. 17 1115 N Fairfield Rd, Round Lake, IL 60073","1115 N Fairfield Rd, Round Lake, IL 60073",,
Report-5193: Oct. 17 6211 Lincoln Chicago,6211 Lincoln Chicago,,
"Report-1471: Oct. 17 151 E Wacker Dr, Chicago, IL ","151 E Wacker Dr, Chicago, IL ",,
Report-1472: Oct. 17 2127 W Lawrence Ave,2127 W Lawrence Ave,,
Report-1473: Oct. 16 31st and Archer ,31st and Archer ,,
"Report-1474: Oct. 16 201 E 25th St, Chicago Heights, IL 60411","201 E 25th St, Chicago Heights, IL 60411",,
"Report-1475: Oct. 16 River Rd & Golf Rd, Des Plaines, IL 60016","River Rd & Golf Rd, Des Plaines, IL 60016",,
"Report-1476: Oct. 16 N Kedzie Ave & W Granville Ave, Chicago, IL 60659","N Kedzie Ave & W Granville Ave, Chicago, IL 60659",,
"Report-1477: Oct. 16 Irving Park Rd & Ashland Ave, Chicago, IL 60613","Irving Park Rd & Ashland Ave, Chicago, IL 60613",,
"Report-1478: Oct. 16 S Loomis Blvd & W 48th St, Chicago, IL 60609","S Loomis Blvd & W 48th St, Chicago, IL 60609",,
Report-1479: Oct. 16 ,,,
"Report-1480: Oct. 16 1926 Grand Avenue, Waukegan","1926 Grand Avenue, Waukegan",,
Report-1481: Oct. 16 Halsted & Cermak,Halsted & Cermak,,
"Report-1482: Oct. 16 Lincoln Park Zoo, Chicago, IL 60614","Lincoln Park Zoo, Chicago, IL 60614",,
"Report-1483: Oct. 16 S Ashland Ave & W 43rd St, Chicago, IL 60609","S Ashland Ave & W 43rd St, Chicago, IL 60609",,
"Report-1484: Oct. 16 N Leavitt St & W Lawrence Ave, Chicago, IL 60625","N Leavitt St & W Lawrence Ave, Chicago, IL 60625",,
"Report-1485: Oct. 16 Ashland & Lawrence, Chicago, IL 60640","Ashland & Lawrence, Chicago, IL 60640",,
"Report-1486: Oct. 16 2056 W. Division St., Chicago, IL 60622","2056 W. Division St., Chicago, IL 60622",,
"Report-1487: Oct. 16 S Dearborn St & W Ida B. Wells Dr, Chicago, IL 60605","S Dearborn St & W Ida B. Wells Dr, Chicago, IL 60605",,
"Report-1488: Oct. 16 S Church St & Loomis St, Rockford, IL 61102","S Church St & Loomis St, Rockford, IL 61102",,
"Report-1489: Oct. 16 Brian Piccolo Elementary School, 1040 N Keeler Ave, Chicago, IL 60651","Brian Piccolo Elementary School, 1040 N Keeler Ave, Chicago, IL 60651",,
"Report-1490: Oct. 16 955 W Garfield Blvd, Chicago, IL 60621","955 W Garfield Blvd, Chicago, IL 60621",,
Report-1491: Oct. 16 N Tripp Ave & W Cullom Ave,N Tripp Ave & W Cullom Ave,,
"Report-1492: Oct. 16 4620 N Broadway, Chicago, IL 60640","4620 N Broadway, Chicago, IL 60640",,
Report-1493: Oct. 16 ,,,
"Report-1494: Oct. 16 Eliza Chappell School, 2135 W Foster Ave, Chicago, IL 60625","Eliza Chappell School, 2135 W Foster Ave, Chicago, IL 60625",,
Report-1495: Oct. 16 ,,,
Report-1496: Oct. 16 703 Case St. Evanston,703 Case St. Evanston,,
"Report-1497: Oct. 16 Chase Bank, 8007 Lincoln Ave., Skokie","Chase Bank, 8007 Lincoln Ave., Skokie",,
"Report-1498: Oct. 16 8th St & Canterfield Pkwy, West Dundee, IL 60118","8th St & Canterfield Pkwy, West Dundee, IL 60118",,
Report-1499: Oct. 16 21st St and Gabriel Av,21st St and Gabriel Av,,
Report-1500: Oct. 16 Ezekiel and 21st,Ezekiel and 21st,,
"Report-1501: Oct. 16 3810 w 81st pl

","3810 w 81st pl

",,
Report-1502: Oct. 16 Belmont and Milwaukee,Belmont and Milwaukee,,
"Report-1503: Oct. 16 Green Bay Rd & Lincoln St, Evanston, IL 60201","Green Bay Rd & Lincoln St, Evanston, IL 60201",,
Report-1504: Oct. 16 Archer and Kedzie,Archer and Kedzie,,
"Report-1505: Oct. 16 2850 Patriot Blvd, Glenview, IL 60026","2850 Patriot Blvd, Glenview, IL 60026",,
"Report-1506: Oct. 16 Nichols Middle School, 800 Greenleaf St, Evanston, IL 60202","Nichols Middle School, 800 Greenleaf St, Evanston, IL 60202",,
Report-1507: Oct. 16  monroe street between jefferson and clinton, monroe street between jefferson and clinton,,
Report-1508: Oct. 16 Cicero and Cermak,Cicero and Cermak,,
Report-1509: Oct. 16 washington and clark,washington and clark,,
Report-1510: Oct. 16 1965 w Pershing Pl,1965 w Pershing Pl,,
"Report-1511: Oct. 16 1046 University Pl., Evanston","1046 University Pl., Evanston",,
"Report-1512: Oct. 16 9350 Central Park Ave., Skokie","9350 Central Park Ave., Skokie",,
Report-1513: Oct. 16 Grand and washtenaw,Grand and washtenaw,,
Report-1514: Oct. 16 S Greenwood and 53rd Street.,S Greenwood and 53rd Street.,,
"Report-1515: Oct. 16 Intersection of Lincoln, Lawrence, and Western","Intersection of Lincoln, Lawrence, and Western",,
"Report-1516: Oct. 16 3142 W Lawrence Ave, Chicago, IL 60625","3142 W Lawrence Ave, Chicago, IL 60625",,
"Report-1517: Oct. 16 201 W 69th St, Chicago, IL 60621","201 W 69th St, Chicago, IL 60621",,
"Report-1518: Oct. 16 1910 Dempster St., Evanston","1910 Dempster St., Evanston",,
"Report-1519: Oct. 16 1919 Dempster St., Evanston","1919 Dempster St., Evanston",,
Report-1520: Oct. 16 83rd and Narragansett.,83rd and Narragansett.,,
Report-1521: Oct. 16 50th and Western,50th and Western,,
Report-1522: Oct. 16 42nd and Maplewood,42nd and Maplewood,,
Report-1523: Oct. 16 4023 S Archer Ave,4023 S Archer Ave,,
Report-1524: Oct. 16 1707 west 47 street,1707 west 47 street,,
Report-1525: Oct. 16 St. Louis and evergreen,St. Louis and evergreen,,
Report-1526: Oct. 16 118 east jackson street joliet 60432,118 east jackson street joliet 60432,,
Report-1527: Oct. 16 pulaskie and 54,pulaskie and 54,,
Report-1528: Oct. 16 lawrence and hamlin,lawrence and hamlin,,
Report-1529: Oct. 16 35th and wolcott,35th and wolcott,,
Report-1530: Oct. 16 91st and commercial,91st and commercial,,
"Report-1531: Oct. 16 5015 S Blackstone Ave, Chicago, IL 60615","5015 S Blackstone Ave, Chicago, IL 60615",,
Report-1532: Oct. 16 42nd and maplewood ,42nd and maplewood ,,
Report-1533: Oct. 16 archer and california,archer and california,,
"Report-1534: Oct. 16 5139 S Archer Ave, Chicago, IL 60632","5139 S Archer Ave, Chicago, IL 60632",,
Report-1535: Oct. 16 3800 S Archer/ 47th and western,3800 S Archer/ 47th and western,,
Report-1536: Oct. 16 61st and morgan,61st and morgan,,
"Report-1537: Oct. 16 DuPage Airport (2700 International Dr, West Chicago, IL 60185)","DuPage Airport (2700 International Dr, West Chicago, IL 60185)",,
Report-1538: Oct. 16 47th and Loomis Blvd,47th and Loomis Blvd,,
"Report-1539: Oct. 16 S Albany Ave & W 30th St, Chicago, IL 60623","S Albany Ave & W 30th St, Chicago, IL 60623",,
Report-1540: Oct. 16 Route 31,Route 31,,
Report-1541: Oct. 16 47th stop on the red line,47th stop on the red line,,
"Report-1542: Oct. 16 4250 S Rockwell St, Chicago, IL 60632","4250 S Rockwell St, Chicago, IL 60632",,
"Report-1543: Oct. 16 220 W. Garfield Blvd., Chicago, IL 60609","220 W. Garfield Blvd., Chicago, IL 60609",,
Report-1544: Oct. 16 87th and exchange,87th and exchange,,
"Report-1545: Oct. 16 1746 S Miller St, Chicago, IL 60608","1746 S Miller St, Chicago, IL 60608",,
"Report-1546: Oct. 16 3456 W 38th St, Chicago, IL 60632","3456 W 38th St, Chicago, IL 60632",,
Report-1547: Oct. 16 Deerfield Rd and Buffalo Grove Rd,Deerfield Rd and Buffalo Grove Rd,,
"Report-1548: Oct. 16 740 N Aberdeen St, Chicago, 60642","740 N Aberdeen St, Chicago, 60642",,
"Report-1549: Oct. 16 Friendship Plaza Addison, IL 60101","Friendship Plaza Addison, IL 60101",,
"Report-1550: Oct. 16 150 Dexter Ct, Elgin, IL 60120","150 Dexter Ct, Elgin, IL 60120",,
Report-1551: Oct. 16 3800 South albany,3800 South albany,,
"Report-1552: Oct. 16 4100 S Ashland Ave, 60609","4100 S Ashland Ave, 60609",,
Report-1553: Oct. 16 Calumet Park,Calumet Park,,
Report-1554: Oct. 16 5200 s university ave,5200 s university ave,,
Report-1555: Oct. 16 38th and Winchester/38th and Wood,38th and Winchester/38th and Wood,,
Report-1556: Oct. 16 52nd and Pulaski,52nd and Pulaski,,
"Report-1557: Oct. 16 2744 W Pershing Rd, Chicago, IL 60632","2744 W Pershing Rd, Chicago, IL 60632",,
Report-1558: Oct. 16 43rd and Morse,43rd and Morse,,
Report-1559: Oct. 16 N/A,N/A,,
"Report-1560: Oct. 16 Robert Gilliam Municipal Complex, 150 Dexter Ct, Elgin, IL 60120","Robert Gilliam Municipal Complex, 150 Dexter Ct, Elgin, IL 60120",,
Report-1561: Oct. 16 Ashland and 37th,Ashland and 37th,,
"Report-1562: Oct. 16 151 Douglas Ave, Elgin, IL 60120","151 Douglas Ave, Elgin, IL 60120",,
Report-1563: Oct. 16 5200 S Pulaski,5200 S Pulaski,,
Report-1564: Oct. 16 47th and Western,47th and Western,,
"Report-1565: Oct. 16 4555 S Western Blvd, Chicago, IL 60609","4555 S Western Blvd, Chicago, IL 60609",,
Report-1566: Oct. 16 5307 S Greenwood,5307 S Greenwood,,
Report-1567: Oct. 16 47th and Marshfield,47th and Marshfield,,
"Report-1568: Oct. 16 1926 W 35th St, Chicago, IL 60609","1926 W 35th St, Chicago, IL 60609",,
Report-1569: Oct. 16 Archer and Damen,Archer and Damen,,
Report-1570: Oct. 16 47th and no cross street,47th and no cross street,,
Report-1571: Oct. 16 47th and Ashland,47th and Ashland,,
"Report-1572: Oct. 16 840 N Main St, 60137","840 N Main St, 60137",,
"Report-1573: Oct. 16 5220 159th St, Oak Forest, IL 60452","5220 159th St, Oak Forest, IL 60452",,
Report-1574: Oct. 16 N/A,N/A,,
Report-1575: Oct. 16 47th and Talman/52nd and Pulaski,47th and Talman/52nd and Pulaski,,
"Report-1576: Oct. 16 Fulton/Leavitt eastbound, away from school","Fulton/Leavitt eastbound, away from school",,
Report-1577: Oct. 16 Fulton/Leavitt,Fulton/Leavitt,,
Report-1578: Oct. 16 37th and Winchester,37th and Winchester,,
Report-1579: Oct. 16 Western and 46th,Western and 46th,,
Report-1580: Oct. 16 Various (see Notes below),Various (see Notes below),,
Report-1581: Oct. 16 33rd and Wallace,33rd and Wallace,,
Report-1582: Oct. 16 1621 west 47th street,1621 west 47th street,,
Report-1583: Oct. 16 3600 Ashland Ave,3600 Ashland Ave,,
"Report-1584: Oct. 16 9400 Drake Ave., Evanston","9400 Drake Ave., Evanston",,
"Report-1585: Oct. 16 640 W Irving Park Rd, Chicago, IL 60613","640 W Irving Park Rd, Chicago, IL 60613",,
Report-1586: Oct. 16 N/A,N/A,,
"Report-1587: Oct. 16 16501 Kedzie Ave, Markham, IL 60428","16501 Kedzie Ave, Markham, IL 60428",,
"Report-1588: Oct. 16 Oakton Elementary School, 436 Ridge Ave, Evanston, IL 60202","Oakton Elementary School, 436 Ridge Ave, Evanston, IL 60202",,
Report-1589: Oct. 16 ,,,
Report-1590: Oct. 16 1724 Oakton St. ,1724 Oakton St. ,,
"Report-1591: Oct. 16 195 Fox Valley Center Dr, Aurora, IL 60504","195 Fox Valley Center Dr, Aurora, IL 60504",,
"Report-1592: Oct. 16 440 Dodge Ave Evanston, IL 60201","440 Dodge Ave Evanston, IL 60201",,
"Report-1593: Oct. 16 3500 N Kimball Ave, Chicago, IL 60618","3500 N Kimball Ave, Chicago, IL 60618",,
Report-1594: Oct. 16 see notes,see notes,,
"Report-1595: Oct. 16 Home Depot, 2201 Oakton St. ","Home Depot, 2201 Oakton St. ",,
Report-1596: Oct. 16 Damen and Ohio,Damen and Ohio,,
Report-1597: Oct. 16 Canal and Taylor,Canal and Taylor,,
"Report-1598: Oct. 16 124 Golfview Ln, Carpentersville, IL 60110","124 Golfview Ln, Carpentersville, IL 60110",,
Report-1599: Oct. 16 N Damen Ave & W Foster Ave,N Damen Ave & W Foster Ave,,
"Report-1600: Oct. 16 3857 S Martin Luther King Dr, Chicago, IL 60653","3857 S Martin Luther King Dr, Chicago, IL 60653",,
Report-1601: Oct. 16 ,,,
"Report-1602: Oct. 16 840 S Canal StChicago, IL 60607","840 S Canal StChicago, IL 60607",,
Report-1603: Oct. 16 N/A,N/A,,
"Report-1604: Oct. 16 2009 W Schiller St, Chicago, IL 60622, United States","2009 W Schiller St, Chicago, IL 60622, United States",,
"Report-1605: Oct. 16 3436 W Wilson Ave, Chicago, IL 60625","3436 W Wilson Ave, Chicago, IL 60625",,
"Report-1606: Oct. 16 500 W Madison St, Chicago, IL 60661","500 W Madison St, Chicago, IL 60661",,
Report-1607: Oct. 16 ,,,
Report-1608: Oct. 16 707 Brummel St. ,707 Brummel St. ,,
"Report-1609: Oct. 16 300 Central Rd, Mt Prospect, IL 60056","300 Central Rd, Mt Prospect, IL 60056",,
Report-1610: Oct. 16 ,,,
"Report-1611: Oct. 16  7601 S Cicero Ave, Chicago, IL 60652"," 7601 S Cicero Ave, Chicago, IL 60652",,
Report-1612: Oct. 16 on Western Ave. going towards archer ave,on Western Ave. going towards archer ave,,
Report-1613: Oct. 16 ,,,
Report-1614: Oct. 16 ,,,
Report-1615: Oct. 15 Wentworth and Cermak,Wentworth and Cermak,,
"Report-1616: Oct. 15 1801 S Randall Rd, Algonquin, IL 60102","1801 S Randall Rd, Algonquin, IL 60102",,
"Report-1617: Oct. 15 3200 E 91st St, Chicago, IL 60617","3200 E 91st St, Chicago, IL 60617",,
Report-1618: Oct. 15 2714 W Augusta Blvd,2714 W Augusta Blvd,,
Report-1619: Oct. 15 Kildare and Irving Park,Kildare and Irving Park,,
Report-1620: Oct. 15 Gunnison & Sheridan,Gunnison & Sheridan,,
"Report-1621: Oct. 15 7414 N Wolcott Ave, Chicago, IL 60626","7414 N Wolcott Ave, Chicago, IL 60626",,
Report-1622: Oct. 15 Keller Avenue and Dodge Avenue,Keller Avenue and Dodge Avenue,,
Report-1623: Oct. 15 1500 King rd,1500 King rd,,
Report-1624: Oct. 15 1100 on belvedere road,1100 on belvedere road,,
Report-1625: Oct. 15 Cermak and Cicero,Cermak and Cicero,,
Report-1626: Oct. 15 Greenview and Fargo,Greenview and Fargo,,
Report-1627: Oct. 15 Keller and Dodge,Keller and Dodge,,
"Report-1628: Oct. 15 7522 S Essex Ave, Chicago, IL 60649","7522 S Essex Ave, Chicago, IL 60649",,
Report-1629: Oct. 15 Grand and Jackson,Grand and Jackson,,
Report-1630: Oct. 15 ,,,
"Report-1631: Oct. 15 808 Illinois Rte 59, Aurora, IL 60504","808 Illinois Rte 59, Aurora, IL 60504",,
Report-1632: Oct. 15 Irving Park and Pine Grove,Irving Park and Pine Grove,,
"Report-1633: Oct. 15 5015 S Blackstone Ave, Chicago, IL 60615","5015 S Blackstone Ave, Chicago, IL 60615",,
Report-1634: Oct. 15 lawrence and wolcott ,lawrence and wolcott ,,
"Report-1635: Oct. 15 741 S Claremont Ave Chicago, IL 60612","741 S Claremont Ave Chicago, IL 60612",,
"Report-1636: Oct. 15 181 W Madison St, Chicago, IL 60602, United States","181 W Madison St, Chicago, IL 60602, United States",,
Report-1637: Oct. 15 ,,,
"Report-1638: Oct. 15 640 Irving Park Rd, Chicago, IL 60613, USA","640 Irving Park Rd, Chicago, IL 60613, USA",,
"Report-1639: Oct. 15 1039 W Granville Ave Chicago, IL 60660","1039 W Granville Ave Chicago, IL 60660",,
Report-1640: Oct. 15 48th & Hermitage,48th & Hermitage,,
"Report-1641: Oct. 15 W Polk St & S Claremont Ave, 60612","W Polk St & S Claremont Ave, 60612",,
"Report-1642: Oct. 15 1200 L W Besinger Dr, Carpentersville, IL 60110, USA","1200 L W Besinger Dr, Carpentersville, IL 60110, USA",,
Report-1643: Oct. 15 44th and Western,44th and Western,,
Report-1644: Oct. 15 43rd & Honore,43rd & Honore,,
Report-1645: Oct. 15 47th & Wolcott,47th & Wolcott,,
Report-1646: Oct. 15 44th and Honore,44th and Honore,,
"Report-1647: Oct. 15 1729 Algonquin Rd, Mt Prospect, IL 60056, United States","1729 Algonquin Rd, Mt Prospect, IL 60056, United States",,
"Report-1648: Oct. 15 2660 S Kennedy Dr, Carpentersville, IL 60110, USA","2660 S Kennedy Dr, Carpentersville, IL 60110, USA",,
Report-1649: Oct. 15 E 85th St & S Buffalo Ave,E 85th St & S Buffalo Ave,,
Report-1650: Oct. 15 70/Washtenaw and 63/Central Park,70/Washtenaw and 63/Central Park,,
"Report-1651: Oct. 15 3034 W Foster Ave, Chicago, IL 60625, USA","3034 W Foster Ave, Chicago, IL 60625, USA",,
"Report-1652: Oct. 15 S Wolcott Ave & W 45th St, 60609","S Wolcott Ave & W 45th St, 60609",,
Report-1653: Oct. 15 167 passing pulaski in country club hill 60478,167 passing pulaski in country club hill 60478,,
"Report-1654: Oct. 15 91301 Internationale Pkwy, Woodridge, IL, 60517","91301 Internationale Pkwy, Woodridge, IL, 60517",,
"Report-1655: Oct. 15 500 W Touhy Ave, Des Plaines, IL 60018, USA","500 W Touhy Ave, Des Plaines, IL 60018, USA",,
Report-1656: Oct. 15 800 block of Estes Ave Elk Grove Village,800 block of Estes Ave Elk Grove Village,,
"Report-1657: Oct. 15 2650 S California Ave #526, Chicago, IL 60608","2650 S California Ave #526, Chicago, IL 60608",,
"Report-1658: Oct. 15 1520 Main Ln, Elgin, IL 60123, USA","1520 Main Ln, Elgin, IL 60123, USA",,
"Report-1659: Oct. 15 Address 418 Hill ave Aurora ,IL 606505","Address 418 Hill ave Aurora ,IL 606505",,
"Report-1660: Oct. 15 W 47th St & S Western Ave, 60609","W 47th St & S Western Ave, 60609",,
"Report-1661: Oct. 15 W Albion Ave & N Clark St, 60626","W Albion Ave & N Clark St, 60626",,
"Report-1662: Oct. 15 640 W Irving Park Rd, Chicago, IL 60613","640 W Irving Park Rd, Chicago, IL 60613",,
"Report-1663: Oct. 15 S Clark St & Jackson Blvd, 60604","S Clark St & Jackson Blvd, 60604",,
"Report-1664: Oct. 15 North Ave & Throop, 60642","North Ave & Throop, 60642",,
"Report-1665: Oct. 15 1020 Davey Rd, Woodridge, IL 60517, USA","1020 Davey Rd, Woodridge, IL 60517, USA",,
"Report-1666: Oct. 15 469 S Smith St, Aurora, IL 60505, United States","469 S Smith St, Aurora, IL 60505, United States",,
"Report-1667: Oct. 15 10 S Geneva St, Elgin, IL 60120","10 S Geneva St, Elgin, IL 60120",,
Report-1668: Oct. 15 294 near O'Hare,294 near O'Hare,,
"Report-1669: Oct. 15 175 Remington Blvd, Bolingbrook, 60440","175 Remington Blvd, Bolingbrook, 60440",,
"Report-1670: Oct. 15 N Avers Ave & W Wilson Ave, 60625","N Avers Ave & W Wilson Ave, 60625",,
"Report-1671: Oct. 15 Kensington Pl & S Constitution Dr, 60506","Kensington Pl & S Constitution Dr, 60506",,
"Report-1672: Oct. 15 W 55th St & S Rockwell St, 60629","W 55th St & S Rockwell St, 60629",,
"Report-1673: Oct. 15 damen and Chicago, 60622","damen and Chicago, 60622",,
"Report-1674: Oct. 15 Springfield Ave & E Prairie Rd, 60712","Springfield Ave & E Prairie Rd, 60712",,
"Report-1675: Oct. 15 W 25th St & S Hamlin Ave, 60623","W 25th St & S Hamlin Ave, 60623",,
"Report-1676: Oct. 15 Scott St & E Higgins Rd Elk Grove Village, IL  60007 ","Scott St & E Higgins Rd Elk Grove Village, IL  60007 ",,
"Report-1677: Oct. 15 Dempster St & Crawford Ave, 60076","Dempster St & Crawford Ave, 60076",,
"Report-1678: Oct. 15 800 Baldwin Ave, Waukegan, IL 60085, USA","800 Baldwin Ave, Waukegan, IL 60085, USA",,
Report-1679: Oct. 14 ,,,
"Report-1680: Oct. 14 E 115th St & S State St, Chicago, IL 60628","E 115th St & S State St, Chicago, IL 60628",,
Report-1681: Oct. 14 ,,,
Report-1682: Oct. 14 ,,,
"Report-1683: Oct. 14 1500 Lee St, Des Plaines, IL 60018","1500 Lee St, Des Plaines, IL 60018",,
"Report-1684: Oct. 14 4319 W Dickens Ave, Chicago, IL 60639","4319 W Dickens Ave, Chicago, IL 60639",,
"Report-1685: Oct. 14 1445 Lake Cook Rd, Deerfield, IL 60015","1445 Lake Cook Rd, Deerfield, IL 60015",,
"Report-1686: Oct. 14 N Sheridan Rd & Lake Shore Dr, Chicago, IL 60660","N Sheridan Rd & Lake Shore Dr, Chicago, IL 60660",,
"Report-1687: Oct. 14 1930 Beach St, Broadview, IL 60155","1930 Beach St, Broadview, IL 60155",,
"Report-1688: Oct. 14 W Grand Ave & W Chicago Ave, Chicago, IL 60622","W Grand Ave & W Chicago Ave, Chicago, IL 60622",,
"Report-1689: Oct. 14 W Washington Blvd & N Damen Ave, Chicago, IL 60612
","W Washington Blvd & N Damen Ave, Chicago, IL 60612
",,
"Report-1690: Oct. 14 N Noble St & W Chicago Ave, Chicago, IL 60642","N Noble St & W Chicago Ave, Chicago, IL 60642",,
"Report-1691: Oct. 14 5516 W Byron St, Chicago, IL 60641","5516 W Byron St, Chicago, IL 60641",,
"Report-1692: Oct. 14 N Damen Ave & W Foster Ave, Chicago, IL 60625","N Damen Ave & W Foster Ave, Chicago, IL 60625",,
"Report-1693: Oct. 14 2434 S Kildare Ave, Chicago, IL 60623","2434 S Kildare Ave, Chicago, IL 60623",,
"Report-1694: Oct. 14 5015 S Blackstone Ave, Chicago, IL 60615","5015 S Blackstone Ave, Chicago, IL 60615",,
"Report-1695: Oct. 14 S Hoyne Ave & W Washburne Ave, Chicago, IL 60608","S Hoyne Ave & W Washburne Ave, Chicago, IL 60608",,
"Report-1696: Oct. 14 808 E 113th St, Chicago, IL 60628","808 E 113th St, Chicago, IL 60628",,
"Report-1697: Oct. 14 E Hyde Park & Dorchester, Chicago, IL 60615","E Hyde Park & Dorchester, Chicago, IL 60615",,
"Report-1698: Oct. 14 3611 E 106th St, Chicago, IL 60617","3611 E 106th St, Chicago, IL 60617",,
"Report-1699: Oct. 14 W Pratt Blvd & N Western Ave., Chicago, IL 60645","W Pratt Blvd & N Western Ave., Chicago, IL 60645",,
"Report-1700: Oct. 14 700 E 107th St, Chicago, IL 60628","700 E 107th St, Chicago, IL 60628",,
"Report-1701: Oct. 14 2121 Euclid Ave, Rolling Meadows, IL 60008","2121 Euclid Ave, Rolling Meadows, IL 60008",,
"Report-1702: Oct. 14 6448 S Tripp Ave, Chicago, IL 60629","6448 S Tripp Ave, Chicago, IL 60629",,
Report-1703: Oct. 14 ,,,
"Report-1704: Oct. 14 S Kedzie Ave & W 59th St, Chicago, IL 60629","S Kedzie Ave & W 59th St, Chicago, IL 60629",,
"Report-1705: Oct. 14 10347 S Ewing Ave, Chicago, IL 60617","10347 S Ewing Ave, Chicago, IL 60617",,
"Report-1706: Oct. 14 92nd Street & Commercial, Chicago, IL 60617","92nd Street & Commercial, Chicago, IL 60617",,
"Report-1707: Oct. 14 10532 S Indianapolis Ave, Chicago, IL 60617","10532 S Indianapolis Ave, Chicago, IL 60617",,
"Report-1708: Oct. 14 111 McEvilly Rd, Minooka, IL 60447","111 McEvilly Rd, Minooka, IL 60447",,
"Report-1709: Oct. 14 1616 N Arlington Heights Rd, Arlington Heights, IL 60004","1616 N Arlington Heights Rd, Arlington Heights, IL 60004",,
"Report-1710: Oct. 14 S Kedzie Ave & W 55th St, Chicago, IL 60632","S Kedzie Ave & W 55th St, Chicago, IL 60632",,
"Report-1711: Oct. 14 N Kostner Ave & W Armitage Ave, Chicago, IL 60639","N Kostner Ave & W Armitage Ave, Chicago, IL 60639",,
"Report-1712: Oct. 14 9211 S Commercial Ave, Chicago, IL 60617","9211 S Commercial Ave, Chicago, IL 60617",,
Report-1713: Oct. 14 3611 East 106th St Chicago IL 60617,3611 East 106th St Chicago IL 60617,,
"Report-1714: Oct. 14 2201 Oakton St, Evanston, IL 60202","2201 Oakton St, Evanston, IL 60202",,
"Report-1715: Oct. 14 3411 N. Southport Ave., Chicago, IL 60657","3411 N. Southport Ave., Chicago, IL 60657",,
"Report-1716: Oct. 14 S Ave M & E 105th St, Chicago, IL 60617","S Ave M & E 105th St, Chicago, IL 60617",,
"Report-1717: Oct. 14 S California Ave & W 16th St, Chicago, IL 60608","S California Ave & W 16th St, Chicago, IL 60608",,
"Report-1718: Oct. 14 3050 E 92nd St, Chicago, IL 60617","3050 E 92nd St, Chicago, IL 60617",,
"Report-1719: Oct. 14 9801 S Ave G, Chicago, IL 60617","9801 S Ave G, Chicago, IL 60617",,
"Report-1720: Oct. 14 4000 E 106th St, Chicago, IL 60617","4000 E 106th St, Chicago, IL 60617",,
"Report-1721: Oct. 14 9101 S Commercial Ave, Chicago, IL 60617","9101 S Commercial Ave, Chicago, IL 60617",,
Report-1722: Oct. 14 ,,,
Report-1723: Oct. 14 ,,,
"Report-1724: Oct. 14 N Homan Ave. & W Chicago Ave, Chicago, IL 60624","N Homan Ave. & W Chicago Ave, Chicago, IL 60624",,
"Report-1725: Oct. 14 W 24th St & S Trumbull Ave, Chicago, IL 60623","W 24th St & S Trumbull Ave, Chicago, IL 60623",,
"Report-1726: Oct. 14 2350 W Cermak Rd, Chicago, IL 60608","2350 W Cermak Rd, Chicago, IL 60608",,
"Report-1727: Oct. 14 S Kostner Ave & W 26th St, Chicago, IL 60623","S Kostner Ave & W 26th St, Chicago, IL 60623",,
"Report-1728: Oct. 14 10900 S Doty Ave, Chicago, IL 60628","10900 S Doty Ave, Chicago, IL 60628",,
"Report-1729: Oct. 14 10834 S Doty Ave, Chicago, IL 60617","10834 S Doty Ave, Chicago, IL 60617",,
"Report-1730: Oct. 14 W Rascher Ave, Chicago, IL 60640","W Rascher Ave, Chicago, IL 60640",,
"Report-1731: Oct. 14 2590 Ogden Ave, Aurora, IL 60504","2590 Ogden Ave, Aurora, IL 60504",,
"Report-1732: Oct. 14 640 W Irving Park Rd, Chicago, IL 60613","640 W Irving Park Rd, Chicago, IL 60613",,
"Report-1733: Oct. 14 Clark/Lake, Chicago, IL 60601","Clark/Lake, Chicago, IL 60601",,
"Report-1734: Oct. 14 Quadrangle Dr & Remington Blvd, Bolingbrook, IL 60440","Quadrangle Dr & Remington Blvd, Bolingbrook, IL 60440",,
"Report-1735: Oct. 14 2500 S Blue Island Ave, Chicago, IL 60608","2500 S Blue Island Ave, Chicago, IL 60608",,
"Report-1736: Oct. 14 800 N Kedzie Ave, Chicago, IL 60651","800 N Kedzie Ave, Chicago, IL 60651",,
