Raid Report,Street Address,City ,State
"Report-5410: Dec. 17 3000 Kirchoff Rd, Rolling Meadows, IL 60008","3000 Kirchoff Rd, Rolling Meadows, IL 60008",,
Report-5357: Dec. 17 809 Civic Center Dr. Niles ,809 Civic Center Dr. Niles ,,
"Report-5538: Dec. 17 901 Civic Center Dr, Niles, IL 60714","901 Civic Center Dr, Niles, IL 60714",,
Report-5547: Dec. 17 ,,,
Report-5543: Dec. 17 Ashland Ave and 18th,Ashland Ave and 18th,,
"Report-5544: Dec. 17 2510 Jane Addams Mem TollwayBelvidere, IL 61008","2510 Jane Addams Mem TollwayBelvidere, IL 61008",,
Report-5546: Dec. 17 ,,,
"Report-5545: Dec. 17 1228 Lake Ave., Wilmette, IL 60091","1228 Lake Ave., Wilmette, IL 60091",,
Report-5409: Dec. 17 2224 Cleveland St Evanston IL 60202,2224 Cleveland St Evanston IL 60202,,
Report-5537: Dec. 17 ,,,
Report-5542: Dec. 17 ,,,
Report-5405: Dec. 17 900 Troost Ave,900 Troost Ave,,
Report-5541: Dec. 17 Oaken and McCormick,Oaken and McCormick,,
Report-5406: Dec. 17 7300 S Cicero Ave.,7300 S Cicero Ave.,,
Report-5356: Dec. 17 Home Depot on Oakton Evanston,Home Depot on Oakton Evanston,,
Report-5402: Dec. 17 Home Depot in Cicero ,Home Depot in Cicero ,,
"Report-5407: Dec. 17 150 South Lombard Ave, Oak Park, Il 60304","150 South Lombard Ave, Oak Park, Il 60304",,
Report-5408: Dec. 17 State and National ,State and National ,,
"Report-5567: Dec. 17 1087 N King Charles Ct
Palatine, IL  60067","1087 N King Charles Ct
Palatine, IL  60067",,
"Report-5403: Dec. 17 Lawrence Ave and Hoxie Ave, Elgin Township, IL 60123","Lawrence Ave and Hoxie Ave, Elgin Township, IL 60123",,
Report-5411: Dec. 17 5309 S Maplewood,5309 S Maplewood,,
Report-5355: Dec. 17 Green Bay and Asbury,Green Bay and Asbury,,
Report-5404: Dec. 17 Humboldt Park or East Garfield Park.,Humboldt Park or East Garfield Park.,,
Report-5412: Dec. 17 Devon Ave and Glenwood passing over Loyola University ,Devon Ave and Glenwood passing over Loyola University ,,
"Report-5400: Dec. 17 2300 Green Bay Rd, Evanston, IL 60201.","2300 Green Bay Rd, Evanston, IL 60201.",,
Report-5385: Dec. 17 Milwaukee Ave and Maple Wood Ave,Milwaukee Ave and Maple Wood Ave,,
Report-5398: Dec. 17 Willy and Grace diner on walnut avenue in Elgin,Willy and Grace diner on walnut avenue in Elgin,,
Report-5384: Dec. 17 ,,,
Report-5401: Dec. 17  S. Oak Park around Roosevelt., S. Oak Park around Roosevelt.,,
Report-5397: Dec. 17 Roosevelt and Mayfield outside of Children International Daycare,Roosevelt and Mayfield outside of Children International Daycare,,
Report-5381: Dec. 17 31 and Bowes road ,31 and Bowes road ,,
Report-5380: Dec. 17 shoreline in Evanston,shoreline in Evanston,,
"Report-5378: Dec. 17 2601 S Cicero Ave, Cicero, IL 60804","2601 S Cicero Ave, Cicero, IL 60804",,
"Report-5396: Dec. 17 1500 S 59th Ct, Cicero, IL 60804","1500 S 59th Ct, Cicero, IL 60804",,
