ID,Address,City,State,oneline,zipcode,lat,lon
124,5035 S East End,Chicago,IL,"5035 S East End, Chicago, IL",60615,41.804026537988,-87.58536360818
125,4800 S Chicago Beach Dr,Chicago,IL,"4800 S Chicago Beach Dr, Chicago, IL",60615,41.807281186496,-87.586615355538
126,5200 S University Ave,Chicago,IL,"5200 S University Ave, Chicago, IL",60615,41.80084821874,-87.598285253145
127,936 E 54th St,Chicago,IL,"936 E 54th St, Chicago, IL",60615,41.797975454332,-87.602717910736
128,1355 E 53rd St,Chicago,IL,"1355 E 53rd St, Chicago, IL",60615,41.799444862122,-87.59261351895
129,1450 E 55th Pl,Chicago,IL,"1450 E 55th Pl, Chicago, IL",60637,41.794857661264,-87.589825132627
130,5500 S Woodlawn Ave,Chicago,IL,"5500 S Woodlawn Ave, Chicago, IL",60637,41.795006805346,-87.596619674683
131,5631 S Kimbark Ave,Chicago,IL,"5631 S Kimbark Ave, Chicago, IL",60637,41.792711707454004,-87.594792707035
132,655 W 65th St,Chicago,IL,"655 W 65th St, Chicago, IL",60621,41.776093110724,-87.641831705637
133,6401 S Yale Ave,Chicago,IL,"6401 S Yale Ave, Chicago, IL",60621,41.778074990802,-87.631714124044
134,6835 S Normal Blvd,Chicago,IL,"6835 S Normal Blvd, Chicago, IL",60621,41.770336192966,-87.637201108982
135,301 W Marquette Rd,Chicago,IL,"301 W Marquette Rd, Chicago, IL",60621,41.772624868898,-87.631703085233
136,50 W 71st St,Chicago,IL,"50 W 71st St, Chicago, IL",60621,41.765529240064,-87.626876681681
137,6741 S Michigan Ave,Chicago,IL,"6741 S Michigan Ave, Chicago, IL",60637,41.772101876905,-87.621791362392
138,661 E 69th St,Chicago,IL,"661 E 69th St, Chicago, IL",60637,41.76939679577,-87.608608823591
139,6741 S Michigan Ave,Chicago,IL,"6741 S Michigan Ave, Chicago, IL",60637,41.772101876905,-87.621791362392
140,6741 S Michigan Ave,Chicago,IL,"6741 S Michigan Ave, Chicago, IL",60637,41.772101876905,-87.621791362392
141,7147 S Wentworth Ave,Chicago,IL,"7147 S Wentworth Ave, Chicago, IL",60621,41.764577139555,-87.629674249147
142,513 W 72nd St,Chicago,IL,"513 W 72nd St, Chicago, IL",60621,41.763432500133,-87.637437701149
143,7545 S Vincennes Ave,Chicago,IL,"7545 S Vincennes Ave, Chicago, IL",60620,41.757288408403,-87.631695898445
144,7257 S State St,Chicago,IL,"7257 S State St, Chicago, IL",60619,41.762661444678,-87.624767498808
145,7350 S Evans Ave,Chicago,IL,"7350 S Evans Ave, Chicago, IL",60619,41.761274142165,-87.606772527499
146,7350 S Evans Ave,Chicago,IL,"7350 S Evans Ave, Chicago, IL",60619,41.761274142165,-87.606772527499
147,7614 S Cottage Grove,Chicago,IL,"7614 S Cottage Grove, Chicago, IL",60619,41.756458200406,-87.605411198818
148,7831 S Prairie Ave,Chicago,IL,"7831 S Prairie Ave, Chicago, IL",60619,41.752422770185,-87.618110367478
149,7841 S Wabash Ave,Chicago,IL,"7841 S Wabash Ave, Chicago, IL",60619,41.751260630388,-87.62292967859
150,8147 S Vincennes Ave,Chicago,IL,"8147 S Vincennes Ave, Chicago, IL",60620,41.746541363881,-87.635243224035
151,8223 S Princeton Ave,Chicago,IL,"8223 S Princeton Ave, Chicago, IL",60620,41.744235716129,-87.63162801872
152,8306 S St Lawrence Ave,Chicago,IL,"8306 S St Lawrence Ave, Chicago, IL",60619,41.743002437439,-87.60992441106
153,8050 S St Lawrence Ave,Chicago,IL,"8050 S St Lawrence Ave, Chicago, IL",60619,41.748439995437,-87.610077793421
